"sample","Strat_m_measured","Strat_m_above_Pryor","avg_d13C_VPDB","SD_1sigma","SE_1sigma","d13C_3pt_avg","depth_3pt_avg","age_Ma"
"CCC-138",55.55,47.55,-25.0452716666667,0.345032464909279,0.199204586494532,-24.6696034888889,47.55,108.6532
"CCC-139",55.8,47.8,-24.6022253,0.329141747209739,0.190030076353086,-24.9168760888889,47.8,108.6096
"CCC-140",56.05,48.05,-25.1031313,0.0793448098228857,0.0458097473100427,-24.8055971333333,48.05,108.5672
"CCC-141",56.3,48.3,-24.7114348,0.406025380662072,0.2871033,-24.9355303222222,48.3,108.523
"CCC-142",56.55,48.55,-24.9920248666667,0.261041259883994,0.150712241663623,-24.4270831222222,48.55,108.478
"CCC-143",56.8,48.8,-23.5777897,NA,NA,-24.3334826222222,48.8,108.4316
"CCC-144",57.05,49.05,-24.4306333,NA,NA,-24.6403432,49.05,108.3808
"CCC-145",57.3,49.3,-25.9126066,NA,NA,-24.8377996,49.3,108.3346
"CCC-146",57.55,49.55,-24.1701589,NA,NA,-24.7002103,49.55,108.289
"CCC-147",57.8,49.8,-24.0178654,NA,NA,-24.3080983,49.8,108.2478
"CCC-148",58.05,50.05,-24.7362706,NA,NA,-24.5958805,50.05,108.203
"CCC-149",58.3,50.3,-25.0335055,NA,NA,-24.5895787,50.3,108.1608
"CCC-150",58.55,50.55,-23.99896,NA,NA,-24.3108991,50.55,108.1104
"CCC-151",58.8,50.8,-23.9002318,NA,NA,-24.0780826,50.8,108.0638
"CCC-152",59.05,51.05,-24.335056,NA,NA,-23.8470166,51.05,108.0224
"CCC-153",59.3,51.3,-23.305762,NA,NA,-23.8052434444444,51.3,107.9796
"CCC-154",59.55,51.55,-23.7749123333333,0.506267700121944,0.292293792947417,-23.5602782222222,51.55,107.9374
"CCC-155",60.05,52.05,-23.6001603333333,0.475635930354681,0.274608532426533,-23.6641767333333,52.05,107.8412
"CCC-156",60.3,52.3,-23.6174575333333,0.403286610693342,0.232837633244373,-23.6371582555556,52.3,107.7912
"CCC-157",60.55,52.55,-23.6938569,0.347549369363217,0.200657721958538,-23.4831539777778,52.55,107.7392
"CCC-158",60.8,52.8,-23.1381475,NA,NA,-23.5403260666667,52.8,107.694
"CCC-159",61.05,53.05,-23.7889738,NA,NA,-23.6244565,53.05,107.6442
"CCC-160",61.3,53.3,-23.9462482,NA,NA,-23.7172346,53.3,107.5956
"CCC-161",61.55,53.55,-23.4164818,NA,NA,-23.5905850833333,53.55,107.5486
"CCC-162",61.8,53.8,-23.40902525,0.514774797363979,0.364000750000001,-23.3350141833333,53.8,107.5006
"CCC-163",62.05,54.05,-23.1795355,NA,NA,-25.0437709666667,54.05,107.449
"CCC-164",63,55,-28.54275215,0.43950441187752,0.31077655,NA,NA,107.272
