sample,Strat_m_measured,Strat_m_above_Pryor,avg_d13C_VPDB,SD_1sigma,SE_1sigma,d13C_3pt_avg,depth_3pt_avg
CCC-117,48.15,40.15,-23.435962,NA,NA,-23.260759699999998,40.15
CCC-118,48.55,40.55,-23.5147512,NA,NA,-23.607017499999998,40.55
CCC-119,48.95,40.95,-23.8703393,NA,NA,-23.7728895,40.95
CCC-120,49.15,41.15,-23.933578,NA,NA,-23.51198666666667,41.15
CCC-121,49.5,41.5,-22.7320427,NA,NA,-23.2690533,41.5
CCC-122,49.85,41.85,-23.1415392,NA,NA,-23.078646066666664,41.85
CCC-123,50.2,42.2,-23.3623563,NA,NA,-23.192683066666664,42.2
CCC-124,50.55,42.55,-23.0741537,NA,NA,-23.3499159,42.55
CCC-125,50.95,42.95,-23.6132377,NA,NA,-23.77530846666666,42.95
CCC-126,51.2,43.2,-24.638534,NA,NA,-24.320612666666666,43.2
CCC-127,51.55,43.55,-24.7100663,NA,NA,-24.6250569,43.55
CCC-128,51.8,43.8,-24.5265704,NA,NA,-23.99854453333333,43.8
CCC-129,52.05,44.05,-22.7589969,NA,NA,-23.320888299999996,44.05
CCC-130,52.3,44.3,-22.6770976,NA,NA,-22.846732966666664,44.3
CCC-131,53.8,45.8,-23.1041044,NA,NA,-23.0681992,45.8
CCC-132,54.05,46.05,-23.4233956,NA,NA,-23.321866599999996,46.05
CCC-133,54.3,46.3,-23.4380998,NA,NA,-23.444401600000003,46.3
CCC-134,54.55,46.55,-23.4717094,NA,NA,-23.7440872,46.55
CCC-135,54.8,46.8,-24.3224524,NA,NA,-23.8001032,46.8
CCC-136,55.05,47.05,-23.6061478,NA,NA,-24.0966379,47.05
CCC-137,55.3,47.3,-24.3613135,NA,NA,-24.337577655555553,47.3
CCC-138,55.55,47.55,-25.045271666666665,0.34503246490927897,0.19920458649453232,-24.669603488888885,47.55
CCC-139,55.8,47.8,-24.6022253,0.32914174720973877,0.19003007635308644,-24.916876088888888,47.8
CCC-140,56.05,48.05,-25.1031313,0.07934480982288566,0.045809747310042705,-24.805597133333332,48.05
CCC-141,56.3,48.3,-24.7114348,0.4060253806620715,0.28710330000000006,-24.93553032222222,48.3
CCC-142,56.55,48.55,-24.992024866666668,0.2610412598839941,0.15071224166362307,-24.427083122222218,48.55
CCC-143,56.8,48.8,-23.5777897,NA,NA,-24.33348262222222,48.8
CCC-144,57.05,49.05,-24.4306333,NA,NA,-24.6403432,49.05
CCC-145,57.3,49.3,-25.9126066,NA,NA,-24.8377996,49.3
CCC-146,57.55,49.55,-24.1701589,NA,NA,-24.7002103,49.55
CCC-147,57.8,49.8,-24.0178654,NA,NA,-24.3080983,49.8
CCC-148,58.05,50.05,-24.7362706,NA,NA,-24.595880500000003,50.05
CCC-149,58.3,50.3,-25.0335055,NA,NA,-24.5895787,50.3
CCC-150,58.55,50.55,-23.99896,NA,NA,-24.3108991,50.55
CCC-151,58.8,50.8,-23.9002318,NA,NA,-24.0780826,50.8
CCC-152,59.05,51.05,-24.335056,NA,NA,-23.8470166,51.05
CCC-153,59.3,51.3,-23.305762,NA,NA,-23.805243444444443,51.3
CCC-154,59.55,51.55,-23.774912333333333,0.5062677001219443,0.2922937929474173,-23.560278222222223,51.55
CCC-155,60.05,52.05,-23.60016033333333,0.4756359303546812,0.2746085324265333,-23.66417673333333,52.05
CCC-156,60.3,52.3,-23.617457533333333,0.4032866106933417,0.23283763324437265,-23.63715825555555,52.3
CCC-157,60.55,52.55,-23.6938569,0.34754936936321695,0.20065772195853798,-23.483153977777775,52.55
CCC-158,60.8,52.8,-23.1381475,NA,NA,-23.540326066666665,52.8
CCC-159,61.05,53.05,-23.7889738,NA,NA,-23.624456499999997,53.05
CCC-160,61.3,53.3,-23.9462482,NA,NA,-23.717234599999998,53.3
CCC-161,61.55,53.55,-23.4164818,NA,NA,-23.590585083333334,53.55
CCC-162,61.8,53.8,-23.40902525,0.5147747973639794,0.36400075000000065,-23.335014183333332,53.8
CCC-163,62.05,54.05,-23.1795355,NA,NA,-25.043770966666667,54.05
CCC-164,63,55,-28.54275215,0.4395044118775202,0.31077654999999993,NA,NA
