"sample","depth","age","d13C","section"
"D-24",58.85,104.3833613,-23.93,"CLC"
"D-25",59.1,104.3833613,-25.19,"CLC"
"D-26",59.35,104.3833613,-25.21,"CLC"
"D-27",59.6,104.3833613,-24.49,"CLC"
"D-28",59.85,104.3833613,-25.99,"CLC"
"D-29",60.1,104.3833613,-24.6,"CLC"
"D-30",60.35,104.3833613,-24.2,"CLC"
"D-31",60.6,104.3833613,-25.86,"CLC"
"D-32",60.85,104.3833613,-24.65,"CLC"
"D-33",61.1,104.3833613,-23.86,"CLC"
"D-34",61.35,104.3833613,-23.73,"CLC"
"D-35",61.6,104.3833613,-23.7,"CLC"
"D-36",61.85,104.3833613,-24.63,"CLC"
"D-37",62.1,104.3833613,-25.72,"CLC"
"D-39",62.6,104.3833613,-24.94,"CLC"
"D-41",63.1,104.3833613,-24.99,"CLC"
"D-Top Sykes",67.1,104.3833613,-26.44,"CLC"
