Height_m,Youngest_Age,Preferred_Age,Oldest_Age_Alpha1,STD,SedRate_Preferred,SedRate_Youngest,SedRate_Oldest
21,106.4471427,106.7203326,108.8668627,2.255077427,4.878684343,6.495275575,1.273901274
21.5,106.3563223,106.6402269,108.7648978,2.161721574,4.903651041,5.50536898,1.169450295
22,106.2564512,106.5771452,108.6636126,2.072726321,4.93655474,5.006453299,1.180153958
22.5,106.1649595,106.5019386,108.5607936,2.002533963,4.862911846,5.464977849,1.311904156
23,106.0898844,106.4060702,108.4657055,1.924106341,5.258281774,6.659997325,1.247817148
23.5,106.0064366,106.3158887,108.3632964,1.844585955,4.882379723,5.991767192,1.337113155
24,105.9177876,106.2304964,108.2619348,1.753891048,4.932835819,5.640226443,1.124084751
24.5,105.8165021,106.1705012,108.1675584,1.662756266,5.297931108,4.936538186,1.399352075
25,105.7182246,106.0638742,108.0667349,1.584948247,4.959163241,5.087636418,1.257981647
25.5,105.6106013,105.95461,107.9701206,1.511741541,5.175216007,4.645833415,1.154379585
26,105.5028852,105.8519558,107.8662644,1.442080094,4.814349153,4.641830523,1.175696362
26.5,105.3849769,105.7157076,107.7611422,1.387166683,4.75637233,4.240584389,1.153698012
27,105.2670489,105.5951641,107.651765,1.280379325,4.571334405,4.239874517,0.963521545
27.5,105.1213364,105.4670116,107.5332899,1.202241453,4.220297775,3.431414771,1.046364425
28,104.9725938,105.3157237,107.401866,1.101874704,3.804480933,3.361512993,1.091146263
28.5,104.822878,105.1872993,107.2486092,1.018093432,3.262497947,3.339659166,0.940181847
29,104.6699145,105.0420901,107.0924266,0.946873385,3.201381942,3.268753392,1.119063571
29.5,104.5650468,104.925128,106.9652398,0.876863546,3.931226346,4.76791499,1.399236708
30,104.4814294,104.8284153,106.8451177,0.832816272,4.16243048,5.979616362,2.746938179
30.5,104.4306615,104.7775129,106.7597,0.809165387,5.853585988,9.848749613,4.597271966
31,104.3783101,104.7282548,106.6895613,0.806725448,7.128737563,9.550840297,6.935786351
31.5,104.3365878,104.6808751,106.6262492,0.801979763,7.8973854,11.98397743,6.962259347
32,104.3063537,104.6347779,106.5661079,0.797602439,8.313747799,16.53763324,7.738921281
32.5,104.2775269,104.5751528,106.5052399,0.797093491,8.214491971,17.34495635,8.524553104
33,104.2553201,104.5281081,106.4471118,0.794106264,8.601690634,22.51563439,7.129622695
