Sample,d 13C/12C,%C,Comment
CCC-137,-24.3613135,0.055231376,j230209_07
CCC-138,-24.7278682,0.015762618,j230209_07
CCC-138,-24.995434,0.031434233,j230209_08
CCC-138,-25.4125128,0.029871681,j230209_09
CCC-139,-24.3319051,0.013625035,j230209_07
CCC-139,-24.5060209,0.027921259,j230209_08
CCC-139,-24.9687499,0.024232831,j230209_09
CCC-140,-25.0671151,0.011659717,j230209_07
CCC-140,-25.1940964,0.020248954,j230209_08
CCC-140,-25.0481824,0.019630401,j230209_09
CCC-141,-24.4243315,0.029903335,j230209_07
CCC-141,-24.9985381,0.039730988,j230209_08
CCC-142,-24.7688299,0.018178655,j230209_07
CCC-142,-24.9281785,0.034993709,j230209_08
CCC-142,-25.2790662,0.026657832,j230209_09
CCC-143,-23.5777897,0.054480668,j230209_07
CCC-144,-24.4306333,0.02658695,j230209_07
CCC-145,-25.9126066,0.047803922,j230209_07
CCC-146,-24.1701589,0.056995562,j230209_07
CCC-147,-24.0178654,0.058054368,j230209_07
CCC-148,-24.7362706,0.042911196,j230209_07
CCC-149,-25.0335055,0.029665283,j230209_07
CCC-150,-23.99896,0.070014835,j230209_07
CCC-151,-23.9002318,0.040737612,j230209_07
CCC-152,-24.335056,0.064190484,j230209_07
CCC-153,-23.305762,0.110294259,j230209_07
CCC-154,-24.0441229,0.588118626,j230209_07
CCC-154,-23.1909172,0.53096111,j230209_08
CCC-154,-24.0896969,0.447480833,j230209_09
CCC-155,-23.7762964,0.405571914,j230209_07
CCC-155,-23.9626049,0.349578708,j230209_09
CCC-155,-23.0615797,0.382774567,j230209_08
CCC-156,-23.89393,0.529786216,j230209_07
CCC-156,-23.1547027,0.48837619,j230209_08
CCC-156,-23.8037399,0.415299241,j230209_09
CCC-157,-23.7846988,0.336668806,j230209_07
CCC-157,-23.3099077,0.352019512,j230209_08
CCC-157,-23.9869642,0.277517478,j230209_09
CCC-158,-23.1381475,0.394479067,j230209_08
CCC-159,-23.7889738,0.12611215,j230209_08
CCC-160,-23.9462482,0.053732798,j230209_08
CCC-161,-23.4164818,0.169756311,j230209_08
CCC-162,-23.0450245,0.41297,j230209_08
CCC-162,-23.773026,0.375527823,j230209_09
CCC-163,-23.1795355,0.148787646,j230209_08
CCC-164,-28.2319756,0.039077246,j230209_08
CCC-164,-28.8535287,0.024350317,j230209_09
CCC-78-thin section,-28.0253125,3.523552345,j230209_09
CCC-81B thin section,-27.2013327,3.259563357,j230209_09
