sample_ID,depth_m,TOC_(%),d13Corg_VPDB
AH144,331,2.37,-22.83
AH77,105,3.54,-23.82
AH143,328,3.51,-22.8
AH76,102,3.93,-23.6
AH142,325,3.18,-22.86
AH75,99,3.87,-23.69
AH141,322,2.82,-22.99
AH74,96,3.57,-23.75
AH140,319,3.84,-22.9
AH73,93,4.14,-23.75
AH139,316,2.73,-23.19
AH72,90,3.78,-23.79
AH138,313,2.34,-23.41
AH71,87,3.54,-23.75
AH137,310,1.26,-23.73
AH70,84,3.78,-23.93
AH136,307,3.21,-23.8
AH69,81,3.75,-23.61
AH135,304,3.09,-23.92
AH68,78,3.96,-23.76
AH134,301,3,-23.9
AH67,75,3.81,-23.71
AH133,298,3.27,-23.84
AH66,72,3.78,-23.68
AH132,295,3.27,-23.93
AH65,69,3.84,-23.68
AH131,292,3.66,-23.21
AH64,66,2.94,-24.26
AH130,289,3.63,-23.25
AH63,63,3.6,-23.83
AH129,286,4.02,-23.35
AH62,60,2.28,-24.23
AH128,283,4.17,-23.13
AH61,57,1.74,-23.91
AH127,269,3.75,-23.21
AH60,54,2.79,-24.11
AH126,266,3.81,-23.36
AH59,51,3.45,-23.94
AH125,263,3.69,-23.84
AH58,48,3.87,-23.84
AH124,260,2.67,-23.64
AH57,45,3.36,-23.61
AH123,257,4.26,-23.6
AH56,42,3.69,-23.77
AH122,254,3.63,-23.56
AH55,39,4.11,-23.77
AH121,251,2.7,-23.46
AH54,36,3.42,-23.84
AH120,248,3.18,-23.34
AH53,33,4.26,-23.81
AH119,245,3.6,-23.33
AH52,30,3.75,-23.71
AH118,242,3.42,-23.56
AH51,27,3.51,-23.74
AH117,239,2.73,-23.18
HA_8,24,3.42,-23.59
AH116,236,3.39,-23.17
HA_7,21,2.55,-24.29
AH115,233,4.48,-23.26
HA_6,18,2.73,-24.43
AH114,230,3.18,-23.43
HA_5,15,2.34,-23.99
AH113,227,3.52,-23.42
HA_4,12,3.99,-24.06
AH112,224,2.03,-23.54
HA_3,9,2.19,-23.5
AH111,221,1.74,-23.45
HA_2,6,3.6,-23.67
AH110,218,3.12,-23.44
HA_1,3,1.35,-23.19
AH109,215,2.17,-23.48
2011-GTA-B54,-9.75,1.83,-24.08
AH108,212,3.36,-23.71
2011-GTA-B53,-39,11.19,-23.49
AH107,209,3.3,-23.49
2011-GTA-B52,-58.5,0.91,-23.32
AH106,206,3.54,-23.62
2011-GTA-B51,-72.15,0.87,-22.64
AH105,204.5,2.82,-23.93
2011-GTA-B50,-90.35,1.89,-22.49
AH104,203,2.34,-23.89
2011-GTA-B49,-113.75,3.6,-21.88
AH103,200,1.65,-24.12
2011-GTA-B48,-124.8,3.66,-21.87
AH102,197,3.33,-24.09
2011-GTA-B47,-128.05,3.51,-21.37
AH101,194,3.15,-24.18
2011-GTA-B46,-141.05,1.95,-21.91
AH100,191,3.48,-23.94
2011-GTA-B45,-156.65,4.23,-22.15
AH99,188,3.57,-23.92
2011-GTA-B44,-164.45,2.4,-21.88
AH98,185,3.06,-23.93
2011-GTA-B43,-178.75,10.77,-22.14
AH97,182,2.7,-23.91
2011-GTA-B42,-182,8.67,-21.79
AH96,179,3.27,-24.09
2011-GTA-B41,-185.25,8.19,-21.88
AH95,176,3.48,-24.02
NA,-188.5,4.83,-21.89
AH94,173,3.18,-24.03
NA,-189.8,6.3,-21.86
AH93,170,3.99,-24
NA,-191.1,7.83,-21.57
AH92,167,3.18,-24.42
NA,-192.4,8.82,-21.91
AH91,164,3.36,-24.4
NA,-193.7,6.03,-21.47
AH90,161,3.69,-24.63
NA,-195,7.83,-21.91
AH89,158,3.06,-24.47
NA,-196.3,7.59,-22.26
NA,-197.6,5.7,-22.25
NA,-198.9,5.91,-22.81
NA,-218.4,1.92,-25.99
NA,-219.7,2.91,-27.33
NA,-221,1.53,-27.57
NA,-222.3,6.45,-27.52
NA,-223.6,3.21,-27.35
NA,-224.9,2.73,-27.52
NA,-226.2,2.7,-27.56
NA,-227.5,2.79,-27.69
NA,-228.8,3.12,-27.7
NA,-230.1,1.26,-27.24
NA,-231.4,1.41,-27.55
NA,-232.7,2.67,-27.26
NA,-234,3.18,-27.28
NA,-235.3,2.07,-26.52
NA,-249.6,1.5,-25.04
NA,-250.9,1.44,-26.46
NA,-252.2,2.22,-26
NA,-253.5,3.81,-25.81
NA,-254.8,3.99,-25.82
2011-GTA-B33a,-263.64,1.34,-24.8
2011-GTA-B32,-266.5,3.45,-24.15
2011-GTA-B31,-280.8,1.71,-23.61
2011-GTA-B30,-288.6,4.74,-23.61
2011-GTA-B29,-292.11,7.35,-23.79
2011-GTA-B28,-293.15,6.93,-23.7
2011-GTA-B27,-295.1,7.02,-23.7
2011-GTA-B26,-297.05,7.23,-23.7
2011-GTA-B25,-299,9,-23.71
2011-GTA-B24,-300.95,6.36,-23.74
2011-GTA-B23,-302.9,8.49,-23.82
2011-GTA-B22,-324.35,1.83,-23.61
2011-GTA-B21,-325.65,9.54,-24.07
2011-GTA-B19,-334.75,3.84,-24.73
2011-GTA-B20,-336.44,1.71,-23.92
2011-GTA-B18,-345.15,5.91,-24.23
2011-GTA-B17,-347.75,2.25,-24.02
2011-GTA-B16,-356.85,2.07,-24.12
2011-GTA-B15,-369.2,0.87,-23.62
2011-GTA-B14,-370.5,1.26,-23.86
2011-GTA-B13,-383.5,2.73,-24.4
2011-GTA-B12,-462.15,2.04,-24.6
2011-GTA-B-11,-467.35,3.54,-24.77
2011-GTA-B-10,-492.44,2.34,-24.76
2011-GTA-B9,-516.1,7.05,-25.43
2011-GTA-B8,-523.64,3.84,-25.29
2011-GTA-B7,-535.34,2.04,-24.87
2011-GTA-B6,-540.54,6.81,-25.42
2011-GTA-B5,-543.4,4.86,-24.04
2011-GTA-B4,-550.16,4.35,-24.67
2011-GTA-B2,-551.2,14.85,-25.51
2011-GTA-B3,-551.2,22.74,-24.25
2011-GTA-B1,-606.45,2.13,-24.98
