,,Height_m,Youngest_Age,Preferred_Age,Oldest_Age_Alpha1,STD,SedRate_Preferred,SedRate_Youngest,SedRate_Oldest
,,42,106.3286261,108.0471803,108.729182,0.44198565,12.66771253,3.668635411,91.62979199
,,42.5,106.1817234,107.9966713,108.6918499,0.453105758,13.39329221,3.403612746,78.899483
,,43,106.0476938,107.9439948,108.6524346,0.464470094,12.68545602,3.730519791,80.07920215
,,43.5,105.877871,107.8859875,108.6107667,0.476671681,11.99962118,2.944244232,77.56738583
,,44,105.7233319,107.8248974,108.5703425,0.490707086,12.36885133,3.235428062,58.54472053
,,44.5,105.5693146,107.7646172,108.5289441,0.503717025,12.07773745,3.246388494,58.34563582
,,45,105.4111423,107.6992119,108.4852638,0.518350805,11.44682857,3.161109062,40.67943073
,,45.5,105.2398742,107.6373508,108.4416661,0.531881343,11.46848251,2.919400592,32.11401266
,,46,105.1060889,107.5740538,108.3946887,0.544826363,10.64342469,3.737330542,25.77758419
,,46.5,104.9733123,107.5226644,108.3439917,0.548972989,9.862519563,3.76572239,35.43047702
,,47,104.8669632,107.4805632,108.2821027,0.543337528,8.078969072,4.701497713,28.61821584
,,47.5,104.7686025,107.4499351,108.2184593,0.529193993,7.856282072,5.083330288,13.62012705
,,48,104.6926747,107.4188349,108.1541329,0.514767833,7.772860484,6.58520467,13.98812179
,,48.5,104.619452,107.3866732,108.0981948,0.502248667,8.938444777,6.828489875,22.78831072
,,49,104.5511375,107.3617611,108.0433174,0.490561893,9.111212646,7.319090054,26.63690043
,,49.5,104.4835247,107.33971,107.9862409,0.478919955,8.760182352,7.395047148,26.26740261
,,50,104.4170924,107.3147292,107.9310315,0.46602739,9.056426762,7.526460788,27.54161383
,,50.5,104.3540627,107.289574,107.8750172,0.457737849,8.92629347,7.932765129,28.55066647
,,51,104.2877671,107.2644185,107.816223,0.447509138,8.504232081,7.541980041,27.10145361
,,51.5,104.2210596,107.2423544,107.7586452,0.43778037,8.683905774,7.495410353,27.47496383
,,52,104.1529783,107.2139698,107.6983876,0.43201851,8.297716482,7.344157103,27.53571291
,,52.5,104.0789237,107.184881,107.6391489,0.426065582,8.440416301,6.751774138,25.5152533
,,53,103.9975713,107.153978,107.5781435,0.420396485,8.196007476,6.146104694,24.99609371
,,53.5,103.9042476,107.1173791,107.517296,0.420996742,8.217254419,5.357693008,24.65012253
,,54,103.7792619,107.0742445,107.4545739,0.419342186,7.971675293,4.000459194,20.87060229
,,54.5,103.6318184,107.0158512,107.3884212,0.424065739,7.558275783,3.391128902,21.18800148
,,55,103.3112731,106.8997059,107.3331755,0.444606073,9.050468381,1.559841818,21.54614886
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
