Height_m,Youngest_Age,Preferred_Age,Oldest_Age_Alpha1,STD,SedRate_Preferred,SedRate_Youngest,SedRate_Oldest
39,103.9526236,104.1312588,105.7662318,107.0672515,107.1059331,0.748977727,8.821557073
39.5,103.9323003,104.0928287,105.7137127,107.0291406,107.0713589,0.749059181,9.52033962
40,103.9062968,104.0696403,105.6573285,106.9904971,107.0274708,0.745116529,8.86773582
40.5,103.8832262,104.0464817,105.5992318,106.9573575,106.9792676,0.742570373,8.606331016
41,103.8676091,104.0249724,105.5425135,106.917317,106.9476124,0.737843001,8.815503025
41.5,103.8449823,104.0021704,105.4869085,106.8722283,106.9123924,0.732157639,8.992003505
42,103.8213138,103.9812194,105.431429,106.8321432,106.8842861,0.72727648,9.012336771
42.5,103.7981081,103.9450704,105.3754557,106.7934799,106.8479406,0.726635061,8.932833426
43,103.7802888,103.9175962,105.3163148,106.759061,106.8004326,0.724863469,8.454382834
43.5,103.7634247,103.8976617,105.2563202,106.7313909,106.7694604,0.722890108,8.334082301
44,103.747387,103.8717679,105.1970119,106.7003897,106.7288531,0.721587201,8.430520081
44.5,103.7237094,103.8498946,105.1399337,106.668032,106.6955634,0.718912583,8.759918757
45,103.703432,103.8261238,105.0813332,106.6313027,106.6624012,0.715606861,8.532350816
45.5,103.6778934,103.8027157,105.0256235,106.5941224,106.6340691,0.71209354,8.975094787
46,103.6547306,103.7802425,104.9706324,106.5634722,106.6045454,0.710007588,9.092377154
46.5,103.6325637,103.7525034,104.9119187,106.5218392,106.5741896,0.706463203,8.515898106
47,103.606717,103.7281311,104.8518949,106.4848513,106.5376685,0.703244964,8.330032612
47.5,103.5877781,103.7058525,104.7949925,106.4463033,106.4966469,0.699094598,8.786967397
48,103.5637248,103.6792903,104.7367174,106.4161471,106.460567,0.698177751,8.580000322
48.5,103.545304,103.651952,104.679634,106.373485,106.4181126,0.694268623,8.759119597
49,103.5231349,103.6278935,104.6224329,106.3315453,106.3782245,0.689707106,8.741077944
49.5,103.4951856,103.5978665,104.5639444,106.2909063,106.3485047,0.686999937,8.548688525
50,103.4723972,103.5634993,104.502827,106.2532057,106.3074884,0.686149587,8.180983912
50.5,103.4494153,103.5344159,104.4476997,106.2185683,106.2661772,0.684732748,9.069915633
51,103.4244164,103.5006278,104.3897713,106.1611391,106.2251913,0.678701876,8.631336961
51.5,103.3978768,103.4676131,104.3331841,106.1273343,106.181455,0.678500305,8.835920055
52,103.371815,103.435493,104.279007,106.0786767,106.1361367,0.674281553,9.22899717
52.5,103.3388262,103.4016953,104.2260464,106.0247729,106.0839018,0.669152452,9.440980651
53,103.3108343,103.3721082,104.1687115,105.9769744,106.0331384,0.664506671,8.72069477
53.5,103.28303,103.3360879,104.1114211,105.9279632,105.995219,0.661192691,8.727466959
54,103.2535286,103.3003181,104.053054,105.8840725,105.9527482,0.659121026,8.56646593
54.5,103.2214429,103.2608704,103.9939713,105.8167129,105.8905146,0.652000634,8.462712668
55,103.1857907,103.2165167,103.9326329,105.7552931,105.8368661,0.647647046,8.151509756
55.5,103.1462082,103.1632423,103.8699013,105.6859611,105.769652,0.64355072,7.970453202
56,103.102039,103.1083431,103.7989968,105.6116254,105.7125642,0.638592411,7.051744025
56.5,103.0028361,103.0124727,103.7140094,105.5228246,105.6027143,0.640395886,5.883226987
57,102.342613,102.4976804,103.6199999,105.4464169,105.5158866,0.752228693,5.318607044
